object_size_px,velocity_px_s,required_fps,rows,cols,adc_bits_used,power_W,power_mW,max_frame_rate_hz,feasible,frame_time_ms,readout_time_us,adc_time_us,io_time_us,dynamic_range_dB,total_noise_e,fps_clipped_warning
25,10,4.0,480,640,8,0.13385912682276674,133.85912682276674,178.91,1,,,,,51.42,,0
25,50,20.0,480,640,8,0.13787047090837498,137.87047090837498,178.91,1,,,,,51.42,,0
25,100,40.0,480,640,8,0.14288465101538528,142.8846510153853,178.91,1,,,,,51.42,,0
25,200,80.0,480,640,8,0.15291301122940584,152.91301122940584,178.91,1,,,,,51.42,,0
25,500,200.0,480,640,8,0.18296991675500487,182.96991675500487,178.91,0,,,,,51.42,,1
50,10,2.0,480,640,8,0.13335770881206574,133.35770881206574,178.91,1,,,,,51.42,,0
50,50,10.0,480,640,8,0.13536338085486985,135.36338085486986,178.91,1,,,,,51.42,,0
50,100,20.0,480,640,8,0.13787047090837498,137.87047090837498,178.91,1,,,,,51.42,,0
50,200,40.0,480,640,8,0.14288465101538528,142.8846510153853,178.91,1,,,,,51.42,,0
50,500,100.0,480,640,8,0.15792719133641608,157.9271913364161,178.91,1,,,,,51.42,,0
100,10,1.0,480,640,8,0.13334472832682667,133.34472832682667,178.91,1,,,,,51.42,,0
100,50,5.0,480,640,8,0.13410983582811728,134.10983582811727,178.91,1,,,,,51.42,,0
100,100,10.0,480,640,8,0.13536338085486985,135.36338085486986,178.91,1,,,,,51.42,,0
100,200,20.0,480,640,8,0.13787047090837498,137.87047090837498,178.91,1,,,,,51.42,,0
100,500,50.0,480,640,8,0.1453917410688904,145.3917410688904,178.91,1,,,,,51.42,,0
