scene,background,object_size_px,velocity_px_s,required_fps,worst_case_fps,rows,cols,adc_bits_used,power_mW,latency_ms,snr_dB,dynamic_range_dB,total_noise_e,max_frame_rate_hz,feasible,fps_clipped,event_rate_ev_s
static,low_texture,25,10,4.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,2789.6
static,low_texture,25,50,20.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,13948.0
static,low_texture,25,100,40.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,27896.0
static,low_texture,25,200,80.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,55792.0
static,low_texture,25,500,200.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,139480.0
static,low_texture,25,1000,400.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,278960.0
static,low_texture,25,2000,800.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,557920.0
static,low_texture,50,10,2.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,3889.6
static,low_texture,50,50,10.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,19448.0
static,low_texture,50,100,20.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,38896.0
static,low_texture,50,200,40.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,77792.0
static,low_texture,50,500,100.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,194480.0
static,low_texture,50,1000,200.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,388960.0
static,low_texture,50,2000,400.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,777920.0
static,low_texture,100,10,1.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,6089.6
static,low_texture,100,50,5.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,30448.0
static,low_texture,100,100,10.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,60896.0
static,low_texture,100,200,20.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,121792.0
static,low_texture,100,500,50.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,304480.0
static,low_texture,100,1000,100.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,608960.0
static,low_texture,100,2000,200.0,800.0,480,640,8,332.5936,1.92,33.98,51.42,,178.91,0,1,1217920.0
static,high_texture,25,10,4.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,14616.8
static,high_texture,25,50,20.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,73084.0
static,high_texture,25,100,40.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,146168.0
static,high_texture,25,200,80.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,292336.0
static,high_texture,25,500,200.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,730840.0
static,high_texture,25,1000,400.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,1461680.0
static,high_texture,25,2000,800.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,2923360.0
static,high_texture,50,10,2.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,15716.8
static,high_texture,50,50,10.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,78584.0
static,high_texture,50,100,20.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,157168.0
static,high_texture,50,200,40.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,314336.0
static,high_texture,50,500,100.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,785840.0
static,high_texture,50,1000,200.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,1571680.0
static,high_texture,50,2000,400.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,3143360.0
static,high_texture,100,10,1.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,17916.8
static,high_texture,100,50,5.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,89584.0
static,high_texture,100,100,10.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,179168.0
static,high_texture,100,200,20.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,358336.0
static,high_texture,100,500,50.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,895840.0
static,high_texture,100,1000,100.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,1791680.0
static,high_texture,100,2000,200.0,800.0,480,640,9,359.9477,1.94,33.98,57.44,,89.49,0,1,3583360.0
