time_s,velocity_px_s,background,event_rate_raw,event_rate_eff,e_per_event_nJ,power_static_mW,power_dyn_valid_mW,power_dyn_fp_mW,power_dyn_fn_mW,power_total_mW,dvs_can_track
0,10,low_texture,3889.6,3889.6,0.1678,53.99,0.001,0.0,0.0,53.991,1
0,10,high_texture,15716.8,15716.8,0.1678,53.99,0.003,0.0,0.0,53.993,1
1,50,low_texture,19448.0,19448.0,0.1678,53.99,0.003,0.0,0.0,53.993,1
1,50,high_texture,78584.0,78584.0,0.1678,53.99,0.013,0.001,0.001,54.004,1
2,100,low_texture,38896.0,38896.0,0.1678,53.99,0.006,0.001,0.0,53.997,1
2,100,high_texture,157168.0,157168.0,0.1678,53.99,0.025,0.003,0.001,54.018,1
3,200,low_texture,77792.0,77792.0,0.1678,53.99,0.012,0.001,0.001,54.004,1
3,200,high_texture,314336.0,314336.0,0.1678,53.99,0.05,0.005,0.003,54.045,1
4,500,low_texture,194480.0,194480.0,0.1678,53.99,0.031,0.003,0.002,54.024,1
4,500,high_texture,785840.0,785840.0,0.1678,53.99,0.125,0.013,0.007,54.129,1
5,1000,low_texture,388960.0,388960.0,0.1678,53.99,0.062,0.007,0.003,54.059,1
5,1000,high_texture,1571680.0,1571680.0,0.1678,53.99,0.251,0.026,0.013,54.267,1
6,2000,low_texture,777920.0,777920.0,0.1678,53.99,0.124,0.013,0.007,54.127,1
6,2000,high_texture,3143360.0,3143360.0,0.1678,53.99,0.501,0.053,0.026,54.544,1
7,1000,low_texture,388960.0,388960.0,0.1678,53.99,0.062,0.007,0.003,54.059,1
7,1000,high_texture,1571680.0,1571680.0,0.1678,53.99,0.251,0.026,0.013,54.267,1
8,500,low_texture,194480.0,194480.0,0.1678,53.99,0.031,0.003,0.002,54.024,1
8,500,high_texture,785840.0,785840.0,0.1678,53.99,0.125,0.013,0.007,54.129,1
9,200,low_texture,77792.0,77792.0,0.1678,53.99,0.012,0.001,0.001,54.004,1
9,200,high_texture,314336.0,314336.0,0.1678,53.99,0.05,0.005,0.003,54.045,1
10,100,low_texture,38896.0,38896.0,0.1678,53.99,0.006,0.001,0.0,53.997,1
10,100,high_texture,157168.0,157168.0,0.1678,53.99,0.025,0.003,0.001,54.018,1
11,50,low_texture,19448.0,19448.0,0.1678,53.99,0.003,0.0,0.0,53.993,1
11,50,high_texture,78584.0,78584.0,0.1678,53.99,0.013,0.001,0.001,54.004,1
12,10,low_texture,3889.6,3889.6,0.1678,53.99,0.001,0.0,0.0,53.991,1
12,10,high_texture,15716.8,15716.8,0.1678,53.99,0.003,0.0,0.0,53.993,1
